neuron_type,n,loss,val_loss,Depth,NL Terms
tanh,2,0.002837768,0.002599422,2,4
gelu,2,0.010200497,0.010133803,2,4
silu,2,0.00403774,0.003818356,2,4
tanh,2,0.039185468,0.03554365,2,4
gelu,2,0.009488422,0.009364714,2,4
silu,2,0.010152797,0.010087017,2,4
tanh,2,0.010506577,0.010423215,2,4
gelu,2,0.010649027,0.010295672,2,4
silu,2,0.011983787,0.011606466,2,4
tanh,2,0.010118764,0.009903624,2,4
gelu,2,0.009788591,0.009674787,2,4
silu,2,0.004787889,0.004346122,2,4
tanh,2,0.010048997,0.009950235,2,4
gelu,2,0.00323875,0.002809744,2,4
silu,2,0.003990504,0.003512986,2,4
tanh,2,0.010818213,0.010459721,2,4
gelu,2,0.011765704,0.011299656,2,4
silu,2,0.004695803,0.004168787,2,4
tanh,2,0.009940024,0.010079371,2,4
gelu,2,0.039262943,0.03592851,2,4
silu,2,0.039553825,0.036036119,2,4
tanh,2,0.010153061,0.010056827,2,4
gelu,2,0.012097174,0.011461679,2,4
silu,2,0.010948894,0.010485063,2,4
tanh,2,0.010447473,0.01013789,2,4
gelu,2,0.011649191,0.011513714,2,4
silu,2,0.03972258,0.036159862,2,4
tanh,2,0.010576148,0.010643267,2,4
gelu,2,0.003473019,0.003119556,2,4
silu,2,0.009867456,0.009710092,2,4
tanh,2,0.039432522,0.035881616,2,4
gelu,2,0.009911171,0.00979433,2,4
silu,2,0.01165121,0.0113593,2,4
tanh,2,0.010737887,0.01031881,2,4
gelu,2,0.010060518,0.009641307,2,4
silu,2,0.010771004,0.010432177,2,4
tanh,2,0.039466199,0.036376838,2,4
gelu,2,0.011456279,0.011058344,2,4
silu,2,0.010278494,0.01001517,2,4
tanh,2,0.004081034,0.003831942,2,4
gelu,2,0.039440896,0.035970971,2,4
silu,2,0.039502107,0.036022674,2,4
tanh,2,0.010132094,0.009908189,2,4
gelu,2,0.010320583,0.010075579,2,4
silu,2,0.003293844,0.002897198,2,4
tanh,2,0.010174207,0.010131681,2,4
gelu,2,0.012145672,0.011971528,2,4
silu,2,0.010683414,0.010336254,2,4
tanh,2,0.003887712,0.003688082,2,4
gelu,2,0.011602931,0.011298762,2,4
silu,2,0.003575004,0.003084562,2,4
tanh,2,0.039738834,0.036110304,2,4
gelu,2,0.006434592,0.006243879,2,4
silu,2,0.01126778,0.01100825,2,4
tanh,2,0.009847075,0.009766486,2,4
gelu,2,0.010723482,0.010585577,2,4
silu,2,0.011461223,0.010999547,2,4
tanh,2,0.009552547,0.009766415,2,4
gelu,2,0.039491937,0.035826094,2,4
silu,2,0.011465174,0.011235864,2,4
tanh,2,0.003446667,0.003118411,2,4
gelu,2,0.011169354,0.010907267,2,4
silu,2,0.003670248,0.003180384,2,4
tanh,2,0.039256223,0.03587763,2,4
gelu,2,0.039443683,0.035917286,2,4
silu,2,0.010130863,0.009854163,2,4
tanh,2,0.010223018,0.010191191,2,4
gelu,2,0.009774694,0.009610839,2,4
silu,2,0.004318753,0.004096103,2,4
tanh,2,0.010820121,0.010283579,2,4
gelu,2,0.010410883,0.010299969,2,4
silu,2,0.005203617,0.005156816,2,4
tanh,2,0.009974177,0.009919309,2,4
gelu,2,0.010151244,0.010094958,2,4
silu,2,0.00951256,0.00906845,2,4
tanh,2,0.003134224,0.002886371,2,4
gelu,2,0.010893662,0.010406743,2,4
silu,2,0.010405771,0.010129787,2,4
tanh,2,0.039333202,0.035706893,2,4
gelu,2,0.039587311,0.036097776,2,4
silu,2,0.009331125,0.00891129,2,4
tanh,2,0.039460208,0.035758689,2,4
gelu,2,0.010485747,0.010305237,2,4
silu,2,0.039775889,0.036149379,2,4
tanh,2,0.010552259,0.010450848,2,4
gelu,2,0.006535205,0.006434028,2,4
silu,2,0.008377293,0.007728495,2,4
tanh,2,0.009222037,0.009132411,2,4
gelu,2,0.011231801,0.010804813,2,4
silu,2,0.003207026,0.002919086,2,4
tanh,2,0.010314444,0.009920267,2,4
gelu,2,0.011588304,0.011270124,2,4
silu,2,0.010395657,0.009950682,2,4
tanh,2,0.010852385,0.010696994,2,4
gelu,2,0.012233847,0.011621046,2,4
silu,2,0.01200454,0.011495603,2,4
tanh,2,0.010368205,0.010302735,2,4
gelu,2,0.011602429,0.011207929,2,4
silu,2,0.011290222,0.010853839,2,4
tanh,2,0.010653838,0.010713796,2,4
gelu,2,0.011571797,0.011374789,2,4
silu,2,0.013127258,0.012649464,2,4
