,neuron_type,n,loss,val_loss
0,tanh,2,0.01133336778730154,0.010727048851549625
1,gelu,2,0.004458336159586906,0.0044331857934594154
2,silu,2,0.011535241268575191,0.01066621020436287
3,tanh,2,0.011156829074025154,0.010550623759627342
4,gelu,2,0.003312939777970314,0.003435321617871523
5,silu,2,0.004044243600219488,0.0041399626061320305
6,tanh,2,0.03993609920144081,0.037781041115522385
7,gelu,2,0.010358666069805622,0.009483813308179379
8,silu,2,0.0034924899227917194,0.0036173772532492876
9,tanh,2,0.011205083690583706,0.010437427088618279
10,gelu,2,0.0043386914767324924,0.004245273303240538
11,silu,2,0.01151113212108612,0.010697191581130028
12,tanh,2,0.0026735696010291576,0.0028258035890758038
13,gelu,2,0.004347545560449362,0.004550340119749308
14,silu,2,0.010887715965509415,0.010021938011050224
15,tanh,2,0.010635461658239365,0.010011265054345131
16,gelu,2,0.0060262531042099,0.0058878343552351
17,silu,2,0.004036144353449345,0.004149545915424824
18,tanh,2,0.003402717411518097,0.0033853824716061354
19,gelu,2,0.004138532094657421,0.004224534612149
20,silu,2,0.004452355671674013,0.0043164147064089775
21,tanh,2,0.01103112380951643,0.010240541771054268
22,gelu,2,0.0036175446584820747,0.0037623466923832893
23,silu,2,0.011511744000017643,0.01084072794765234
24,tanh,2,0.011038376949727535,0.010348238050937653
25,gelu,2,0.03972942754626274,0.03700188919901848
26,silu,2,0.0037891871761530638,0.003658828092738986
27,tanh,2,0.04124586284160614,0.03823238983750343
28,gelu,2,0.003263851162046194,0.003387216478586197
29,silu,2,0.011293464340269566,0.01039238553494215
30,tanh,2,0.011036633513867855,0.01029872801154852
31,gelu,2,0.004300220403820276,0.004196168854832649
32,silu,2,0.011669727973639965,0.01079830527305603
33,tanh,2,0.038373034447431564,0.03626669943332672
34,gelu,2,0.00494513101875782,0.00487129669636488
35,silu,2,0.004347100388258696,0.004413701593875885
36,tanh,2,0.010970686562359333,0.010078385472297668
37,gelu,2,0.03974887356162071,0.037377502769231796
38,silu,2,0.003020805772393942,0.003047983394935727
39,tanh,2,0.010736560449004173,0.010051049292087555
40,gelu,2,0.01147512812167406,0.010666515678167343
41,silu,2,0.03914300352334976,0.037261076271533966
42,tanh,2,0.010987956076860428,0.010287950746715069
43,gelu,2,0.0058234031312167645,0.005780120380222797
44,silu,2,0.00384051026776433,0.003895434085279703
45,tanh,2,0.011027953587472439,0.010226331651210785
46,gelu,2,0.004385081119835377,0.004280113615095615
47,silu,2,0.004171052016317844,0.0039426120929419994
48,tanh,2,0.010830091312527657,0.010011069476604462
49,gelu,2,0.003968558274209499,0.004164210520684719
50,silu,2,0.0034401786979287863,0.0033416415099054575
51,tanh,2,0.011145496740937233,0.010176102630794048
52,gelu,2,0.03964465484023094,0.037308041006326675
53,silu,2,0.003014964982867241,0.0031259539537131786
54,tanh,2,0.010849996469914913,0.010139466263353825
55,gelu,2,0.013479913584887981,0.012738088145852089
56,silu,2,0.004124323837459087,0.004185694735497236
57,tanh,2,0.01100470032542944,0.010228108614683151
58,gelu,2,0.003983564209192991,0.004076478537172079
59,silu,2,0.0036247249227017164,0.0038587404415011406
60,tanh,2,0.010927167721092701,0.010410754941403866
61,gelu,2,0.004243843257427216,0.004030376672744751
62,silu,2,0.010068356990814209,0.009247773326933384
63,tanh,2,0.002686388324946165,0.002812185324728489
64,gelu,2,0.005226872395724058,0.005058379843831062
65,silu,2,0.03974686190485954,0.037158384919166565
66,tanh,2,0.011099729686975479,0.010285661555826664
67,gelu,2,0.004546314012259245,0.004410382825881243
68,silu,2,0.004062418360263109,0.0041152057237923145
69,tanh,2,0.010917749255895615,0.010149962268769741
70,gelu,2,0.0042602079920470715,0.004286975134164095
71,silu,2,0.03836158290505409,0.03622324392199516
72,tanh,2,0.039101213216781616,0.03621091693639755
73,gelu,2,0.0035629868507385254,0.003711836179718375
74,silu,2,0.0036526641342788935,0.003786087268963456
75,tanh,2,0.0026223144959658384,0.0028221607208251953
76,gelu,2,0.003075959859415889,0.003158177249133587
77,silu,2,0.0038493156898766756,0.003911359701305628
78,tanh,2,0.0388675332069397,0.03634365648031235
79,gelu,2,0.0047469427809119225,0.004805968143045902
80,silu,2,0.010686940513551235,0.009960401803255081
81,tanh,2,0.002919714665040374,0.0029538022354245186
82,gelu,2,0.0040940092876553535,0.003965902142226696
83,silu,2,0.039991531521081924,0.0378476046025753
84,tanh,2,0.01093991007655859,0.010267806239426136
85,gelu,2,0.005246500950306654,0.0049736471846699715
86,silu,2,0.00360434059984982,0.0037222113460302353
87,tanh,2,0.002836189465597272,0.002935663564130664
88,gelu,2,0.0038745340425521135,0.0040041240863502026
89,silu,2,0.0057166218757629395,0.005891566630452871
90,tanh,2,0.011515527032315731,0.010398214682936668
91,gelu,2,0.004179041832685471,0.004080211278051138
92,silu,2,0.010357249528169632,0.0097945686429739
93,tanh,2,0.010872014798223972,0.010350890457630157
94,gelu,2,0.003532359143719077,0.0035533031914383173
95,silu,2,0.010958179831504822,0.010091738775372505
96,tanh,2,0.010929998941719532,0.010089250281453133
